CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
6424,11,4,1-11-2017-004-03,3,1,265,453,178,1228,156,90,98,150,4,2,2,1,0,0,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,262,452,175,1281,151,96,94,160,4,2,2,1,0,0,2276.03898279806000000000,8,2
6490,11,5,1-11-2017-005-02,2,1,262,452,182,1544,156,89,100,999,4,2,2,4,0,0,238.74540897088900000000,8,2
6490,11,5,1-11-2017-005-02,2,2,281,509,185,1613,157,110,120,999,6,4,2,1,9,0,238.74540897088900000000,8,2
6491,11,6,1-11-2017-006-03,3,1,272,480,179,1310,155,100,110,999,4,2,2,1,9,0,3733.08442662582000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,257,436,172,1167,151,81,98,134,4,2,2,1,0,0,3733.08442662582000000000,8,2
6533,11,7,1-11-2017-007-03,3,1,280,482,183,1475,160,94,108,999,4,2,9,9,0,0,672.05886567222700000000,8,2
6533,11,7,1-11-2017-007-03,3,2,265,451,178,1313,153,88,99,999,4,2,9,9,0,0,672.05886567222700000000,8,2
6534,11,8,1-11-2017-008-03,3,1,270,455,178,1305,157,87,99,150,4,2,2,1,0,0,672.05886567222700000000,8,2
6581,11,9,1-11-2017-009-08,8,1,259,449,172,1312,149,92,98,999,4,2,2,1,0,0,1502.31800595479000000000,8,2
6581,11,9,1-11-2017-009-08,8,2,282,468,193,1993,166,92,94,178,6,4,2,1,0,0,1502.31800595479000000000,8,2
6582,11,10,1-11-2017-010-08,8,1,310,514,169,1252,144,82,122,999,4,3,2,2,9,0,1502.31800595479000000000,8,2
6619,11,11,1-11-2017-011-08,8,1,257,465,186,1381,153,104,105,999,6,4,2,2,0,0,613.01599626985200000000,8,2
6619,11,11,1-11-2017-011-08,8,2,298,493,195,1778,161,92,103,175,8,6,2,2,0,0,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,319,515,176,1519,147,85,112,148,6,3,1,2,0,0,613.01599626985200000000,8,2
6666,11,13,1-11-2017-013-05,5,1,278,484,180,1437,154,97,109,155,4,3,2,1,0,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,260,454,176,1279,150,94,100,150,4,2,2,1,0,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,424,643,244,2974,182,101,118,184,8,8,2,3,0,0,533.60897797681100000000,8,2
6705,11,15,1-11-2017-015-05,5,1,273,483,182,1429,155,100,110,160,4,2,2,1,0,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,2,282,474,193,2008,166,97,95,162,6,4,2,4,0,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,3,261,442,171,1194,147,84,97,144,4,2,2,1,0,0,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,280,493,185,1468,157,100,114,142,4,2,2,1,0,0,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,1,260,459,170,1205,145,95,104,999,4,2,2,1,0,0,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,289,489,183,1918,157,100,100,160,6,4,2,1,0,0,459.56320010308000000000,8,2
6746,11,17,1-11-2017-017-01,1,1,281,508,190,1559,154,114,113,160,6,4,2,1,0,0,473.93014835835700000000,8,2
6809,11,18,1-11-2017-018-02,2,1,343,569,202,2367,172,101,124,178,6,4,2,2,0,0,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,278,485,182,1467,158,99,109,156,4,3,2,1,0,0,327.72235960346100000000,8,2
6844,11,19,1-11-2017-019-08,8,1,281,509,188,1565,155,116,114,999,6,4,2,1,0,0,1502.31800595479000000000,8,2
6943,11,20,1-11-2017-020-01,1,1,353,561,203,2265,165,100,110,999,8,5,9,9,0,0,142.98764664428800000000,8,2
