CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
8678,12,69,1-12-2017-069-03,3,1,0,1450.50000000000000000000,9,2
8774,12,70,1-12-2017-070-01,1,1,5,473.87500000000000000000,9,2
8774,12,70,1-12-2017-070-01,1,1,6,473.87500000000000000000,9,2
8792,12,71,1-12-2017-071-02,2,1,1,595.87500000000000000000,9,2
8792,12,71,1-12-2017-071-02,2,1,6,595.87500000000000000000,9,2
8894,12,72,1-12-2017-072-03,3,1,0,1416.25000000000000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,0,1416.25000000000000000000,9,2
8896,12,73,1-12-2017-073-03,3,2,0,1416.25000000000000000000,9,2
8896,12,73,1-12-2017-073-03,3,3,0,1416.25000000000000000000,9,2
8938,12,74,1-12-2017-074-06,6,1,6,419.18750000000000000000,9,2
8938,12,74,1-12-2017-074-06,6,2,0,419.18750000000000000000,9,2
9044,12,75,1-12-2017-075-04,4,1,0,1851.75000000000000000000,9,2
9044,12,75,1-12-2017-075-04,4,2,0,1851.75000000000000000000,9,2
6050,13,1,1-13-2017-001-04,4,1,0,2302.50000000000000000000,7,2
6050,13,1,1-13-2017-001-04,4,2,0,2302.50000000000000000000,7,2
6050,13,1,1-13-2017-001-04,4,3,0,2302.50000000000000000000,7,2
6121,13,2,1-13-2017-002-03,3,2,6,721.00000000000000000000,7,2
6122,13,3,1-13-2017-003-09,9,1,0,4149.00000000000000000000,7,2
6122,13,3,1-13-2017-003-09,9,2,0,4149.00000000000000000000,7,2
6179,13,4,1-13-2017-004-03,3,2,0,1311.00000000000000000000,7,2
6179,13,4,1-13-2017-004-03,3,3,0,1311.00000000000000000000,7,2
6180,13,5,1-13-2017-005-03,3,1,0,1311.00000000000000000000,7,2
6180,13,5,1-13-2017-005-03,3,2,0,1311.00000000000000000000,7,2
6251,13,6,1-13-2017-006-03,3,1,0,803.87500000000000000000,7,2
6252,13,7,1-13-2017-007-02,2,2,6,62.50000000000000000000,7,2
6253,13,8,1-13-2017-008-01,1,1,9,188.93750000000000000000,7,2
6315,13,9,1-13-2017-009-04,4,2,0,4954.00000000000000000000,7,2
6316,13,10,1-13-2017-010-01,1,1,9,333.12500000000000000000,7,2
6316,13,10,1-13-2017-010-01,1,2,9,333.12500000000000000000,7,2
6370,13,11,1-13-2017-011-08,8,1,0,1502.25000000000000000000,7,2
6408,13,12,1-13-2017-012-03,3,2,0,1539.00000000000000000000,7,2
6409,13,13,1-13-2017-013-05,5,1,0,262.25000000000000000000,7,2
6409,13,13,1-13-2017-013-05,5,3,0,262.25000000000000000000,7,2
6444,13,14,1-13-2017-014-02,2,1,0,138.15625000000000000000,7,2
6444,13,14,1-13-2017-014-02,2,2,0,138.15625000000000000000,7,2
6445,13,15,1-13-2017-015-03,3,1,0,1777.25000000000000000000,7,2
6493,13,16,1-13-2017-016-04,4,1,0,2740.00000000000000000000,7,2
6493,13,16,1-13-2017-016-04,4,2,0,2740.00000000000000000000,7,2
6513,13,18,1-13-2017-018-03,3,2,0,783.87500000000000000000,7,2
6540,13,19,1-13-2017-019-04,4,1,6,12110.00000000000000000000,7,2
6590,13,20,1-13-2017-020-02,2,2,0,154.18750000000000000000,7,2
6591,13,21,1-13-2017-021-02,2,1,1,154.18750000000000000000,7,2
6591,13,21,1-13-2017-021-02,2,2,1,154.18750000000000000000,7,2
6591,13,21,1-13-2017-021-02,2,3,1,154.18750000000000000000,7,2
6645,13,22,1-13-2017-022-06,6,1,1,2455.00000000000000000000,7,2
6646,13,23,1-13-2017-023-03,3,1,7,1265.75000000000000000000,7,2
6646,13,23,1-13-2017-023-03,3,2,0,1265.75000000000000000000,7,2
6682,13,24,1-13-2017-024-03,3,1,0,1287.50000000000000000000,7,2
6682,13,24,1-13-2017-024-03,3,2,7,1287.50000000000000000000,7,2
6683,13,25,1-13-2017-025-04,4,1,0,4500.00000000000000000000,7,2
6683,13,25,1-13-2017-025-04,4,2,0,4500.00000000000000000000,7,2
6722,13,26,1-13-2017-026-05,5,1,0,236.34375000000000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,9,1145.00000000000000000000,7,2
6757,13,28,1-13-2017-028-04,4,2,0,4712.00000000000000000000,7,2
6758,13,29,1-13-2017-029-06,6,1,0,2614.50000000000000000000,7,2
6787,13,30,1-13-2017-030-02,2,1,0,91.06250000000000000000,7,2
6787,13,30,1-13-2017-030-02,2,2,6,91.06250000000000000000,7,2
6787,13,30,1-13-2017-030-02,2,2,7,91.06250000000000000000,7,2
6787,13,30,1-13-2017-030-02,2,3,7,91.06250000000000000000,7,2
