CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,POSTINTEGLOSS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,DAMAGELF,DAMAGELR,DAMAGERF,DAMAGERR,DAMAGETG,GLAZINGCONT,ROWIDTH1,ROWIDTH2,ROWIDTH3,ROWIDTH4,ROWIDTH5,ADAPTEQUIP,STEERINGTYPE,STEERTILTADJ,STEERTELEADJ,RIMDEFLOC,RIMDEF,CASEWGT,PSUSTRAT,VERSION
6777,12,17,1-12-2017-017-06,6,2,0,1,1,1,1,0,1,1,1,1,0,0,170,166,888,888,888,0,2,2,0,0,88,917.18174815223400000000,9,2
6816,12,18,1-12-2017-018-05,5,1,0,1,1,1,1,1,1,1,1,1,1,0,144,142,888,888,888,0,2,3,0,5,99,628.83294075430700000000,9,2
6863,12,19,1-12-2017-019-08,8,2,1,1,2,2,2,0,1,1,1,1,0,0,142,136,888,888,888,0,2,2,0,0,88,1502.31800595479000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,0,1,1,1,1,0,1,1,1,1,0,0,170,170,888,888,888,0,2,1,0,0,88,1254.99773785581000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,0,1,0,1,0,0,1,0,1,0,0,0,154,138,888,888,888,0,4,2,2,0,88,1254.99773785581000000000,9,2
6948,12,21,1-12-2017-021-03,3,2,0,1,1,1,1,0,1,1,1,1,0,0,144,142,888,888,888,0,4,3,5,0,88,1881.93111351030000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,0,1,1,1,1,1,1,1,1,1,1,0,162,160,156,888,888,0,2,1,0,0,88,527.92250471460800000000,9,2
7014,12,24,1-12-2017-024-06,6,1,0,1,0,1,0,0,1,0,1,0,0,0,172,888,888,888,888,9,9,9,9,99,99,1919.29361022592000000000,9,2
7056,12,25,1-12-2017-025-03,3,2,0,1,2,1,2,0,1,1,1,1,0,0,142,132,888,888,888,0,2,2,0,0,88,7140.91132777394000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,0,1,1,1,1,1,1,1,1,1,1,0,999,888,888,888,888,0,9,9,9,0,88,3396.44710962869000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,0,2,2,2,2,0,1,1,1,1,0,1,150,150,888,888,888,0,2,3,0,5,2,473.93014835835700000000,9,2
7171,12,28,1-12-2017-028-03,3,2,0,1,1,1,1,0,1,1,1,1,0,0,170,170,888,888,888,0,2,3,0,0,88,4470.95150360823000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,0,1,1,1,1,1,1,1,1,1,1,0,168,168,140,888,888,0,2,3,0,0,88,3832.45356653444000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,0,1,1,1,1,1,1,1,1,1,1,0,144,138,888,888,888,0,2,5,0,0,88,2259.18028942213000000000,9,2
7259,12,31,1-12-2017-031-02,2,1,0,1,1,1,1,1,1,1,1,1,1,0,166,166,150,888,888,0,4,4,2,0,88,655.80624481642800000000,9,2
7259,12,31,1-12-2017-031-02,2,2,0,1,1,1,1,0,1,1,1,1,0,0,154,154,888,888,888,0,2,3,0,0,88,655.80624481642800000000,9,2
