CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6683,13,25,1-13-2017-025-04,4,2,1,4,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,2156,4500.46066267450000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,1,2,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,34250,1145.11784943843000000000,7,2
6757,13,28,1-13-2017-028-04,4,2,1,1,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,6449,4712.18190865343000000000,7,2
6758,13,29,1-13-2017-029-06,6,2,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,99998,2614.98469636895000000000,7,2
6758,13,29,1-13-2017-029-06,6,2,2,0,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,2,99998,2614.98469636895000000000,7,2
6787,13,30,1-13-2017-030-02,2,1,1,3,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,99998,91.07054217554070000000,7,2
6835,13,33,1-13-2017-033-02,2,1,1,2,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,2486,65.39425729483340000000,7,2
6849,13,34,1-13-2017-034-09,9,2,1,2,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,21293,4840.88145206512000000000,7,2
6882,13,36,1-13-2017-036-03,3,1,1,3,Crash Data Retrieval Tool 17.3,Crash Data Retrieval Tool 18.0.2,1,99998,1223.97054512083000000000,7,2
6882,13,36,1-13-2017-036-03,3,2,1,1,Crash Data Retrieval Tool 17.2.1,Crash Data Retrieval Tool 18.0.2,1,601,1223.97054512083000000000,7,2
