CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION,SEATLOC
8243,11,50,1-11-2017-050-06,6,2,1,99,999,9,9,6809.55000197747000000000,8,2,99
8339,11,51,1-11-2017-051-03,3,2,1,6,3,1,3,1540.97904907861000000000,8,2,11
8339,11,51,1-11-2017-051-03,3,2,2,8,4,1,3,1540.97904907861000000000,8,2,11
8339,11,51,1-11-2017-051-03,3,2,3,6,8,2,3,1540.97904907861000000000,8,2,21
8339,11,51,1-11-2017-051-03,3,2,4,24,5,1,3,1540.97904907861000000000,8,2,21
8339,11,51,1-11-2017-051-03,3,2,5,29,5,1,3,1540.97904907861000000000,8,2,21
8347,11,53,1-11-2017-053-05,5,2,1,99,999,9,9,215.76360545375000000000,8,2,99
8535,11,57,1-11-2017-057-02,2,1,1,99,999,9,9,606.20652262610400000000,8,2,99
8671,11,58,1-11-2017-058-03,3,1,1,99,999,9,9,2705.76245215757000000000,8,2,99
8779,11,60,1-11-2017-060-03,3,1,1,99,999,9,9,6747.68905404697000000000,8,2,99
8779,11,60,1-11-2017-060-03,3,2,1,99,999,9,9,6747.68905404697000000000,8,2,99
6185,12,2,1-12-2017-002-06,6,1,1,6,2,0,2,6809.55000197747000000000,9,2,11
6185,12,2,1-12-2017-002-06,6,2,1,6,9,2,2,6809.55000197747000000000,9,2,11
6396,12,8,1-12-2017-008-03,3,1,1,16,11,2,3,1095.44977438854000000000,9,2,23
6537,12,11,1-12-2017-011-01,1,1,1,8,22,3,3,473.93014835835700000000,9,2,11
6537,12,11,1-12-2017-011-01,1,1,2,35,999,9,3,473.93014835835700000000,9,2,11
6537,12,11,1-12-2017-011-01,1,1,3,96,999,8,8,473.93014835835700000000,9,2,88
6580,12,12,1-12-2017-012-08,8,1,1,9,10,2,2,1347.70857556865000000000,9,2,21
6777,12,17,1-12-2017-017-06,6,1,1,15,39,4,3,917.18174815223400000000,9,2,13
6863,12,19,1-12-2017-019-08,8,2,1,25,18,3,2,1502.31800595479000000000,9,2,21
6863,12,19,1-12-2017-019-08,8,2,2,25,17,3,2,1502.31800595479000000000,9,2,22
6863,12,19,1-12-2017-019-08,8,2,3,25,26,3,2,1502.31800595479000000000,9,2,23
