CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
7618,12,39,1-12-2017-039-07,7,1,1,1,0,10,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,10,9997,7,8,9997,9997,9997,9997,9997,7,0,7,990.61558318088500000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,2,0,10,9997,7,8,9997,9997,9997,9997,9997,0,7,7,0,10,9997,7,8,9997,9997,9997,9997,9997,7,0,7,990.61558318088500000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,3,1,10,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,10,9997,7,8,9997,9997,9997,9997,9997,7,3,7,990.61558318088500000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,4,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,990.61558318088500000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,1,1,9995,9995,7,8,9995,204,204,9997,9997,7,7,7,0,9995,9995,0,8,9995,204,204,9997,9997,7,2,7,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,2,1,9995,9995,7,8,9995,252,252,9997,9997,7,7,7,0,9995,9995,0,8,9995,252,252,9997,9997,7,2,7,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,3,1,9995,9995,7,8,9995,9995,9995,9997,9997,7,7,7,0,9995,9995,0,8,9995,9995,9995,9997,9997,7,2,7,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,1,1,0,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,0,9997,7,8,9997,9997,9997,9997,9997,7,3,7,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,2,1,0,9997,7,8,9997,9997,9997,9997,9997,0,7,7,1,0,9997,7,8,9997,9997,9997,9997,9997,7,3,7,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,3,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,628.83294075430700000000,9,2
7713,12,41,1-12-2017-041-03,3,1,1,1,1,57,67,7,8,9997,9997,57,9997,9997,0,7,7,1,57,207,7,8,9997,9997,57,9997,9997,7,3,7,461.69698135238800000000,9,2
7713,12,41,1-12-2017-041-03,3,2,1,1,1,27,31,7,8,9995,31,27,9997,9997,7,7,7,1,27,31,0,8,9995,31,27,9997,9997,7,2,7,461.69698135238800000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,1,1,9997,9997,7,8,9997,9997,9995,9997,9997,0,7,7,0,9997,9997,7,8,9995,9995,9995,9997,9997,7,4,7,2139.05710310235000000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,2,1,9997,9997,7,8,9997,9997,9995,9997,9997,0,7,7,0,9997,9997,7,8,9995,9995,9995,9997,9997,7,4,7,2139.05710310235000000000,9,2
7764,12,43,1-12-2017-043-03,3,1,1,1,7,9997,9997,7,8,9997,9997,0,9997,9997,7,7,7,7,9997,9997,0,8,9997,9997,0,9997,9997,7,7,7,838.43731407849400000000,9,2
7832,12,45,1-12-2017-045-09,9,1,1,1,0,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,7,9997,9997,1,8,9997,9997,9997,9997,9997,7,7,7,3838.87221500274000000000,9,2
7868,12,46,1-12-2017-046-03,3,1,1,1,0,33,133,7,8,9995,9995,23,9997,9997,7,7,7,1,33,68,0,8,9995,9995,23,9997,9997,7,2,7,438.99723933472900000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,1,0,38,9997,7,8,9997,9997,9997,9997,9997,1,7,7,1,38,9997,7,8,9997,9997,9997,9997,9997,7,2,7,2454.35239269099000000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,2,0,38,9997,7,8,9997,9997,9997,9997,9997,1,7,7,0,38,9997,7,8,9997,9997,9997,9997,9997,7,0,7,2454.35239269099000000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,3,1,38,9997,7,8,9997,9997,9997,9997,9997,1,7,7,1,38,9997,7,8,9997,9997,9997,9997,9997,7,2,7,2454.35239269099000000000,9,2
7948,12,48,1-12-2017-048-03,3,1,1,1,1,9994,9997,7,8,9995,9997,9994,9997,9997,0,7,7,0,9994,9997,7,8,9995,9997,9994,9997,9997,7,7,7,896.22568943129300000000,9,2
7949,12,49,1-12-2017-049-03,3,2,1,1,1,9995,9995,7,8,9994,9997,9994,9997,9997,0,7,7,1,9995,9995,7,8,9995,9997,9994,9997,9997,7,7,7,896.22568943129300000000,9,2
8002,12,51,1-12-2017-051-10,10,1,1,1,1,9997,9997,7,8,9997,9997,9997,9997,9997,7,7,7,0,9997,9997,7,8,9997,9997,9997,9997,9997,1,7,7,1132.14903654290000000000,9,2
