CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
7345,10,31,1-10-2017-031-04,4,1,LF,83,Edge a/s,P215/60R16,9999999999999,6,1,1,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,LR,83,edge a/s,P215/60R16,PJ5M NA1R1417,6,0,1,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,RF,83,edge a/s,P215/60R16,PJ5M NA1R1417,6,0,1,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,RR,113,Touring SE,P215/60R16,JUKE ECJ,6,0,1,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,LF,45,sdi 60,P205/60R15,7TCD,2,0,1,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,LR,76,optimo,P205/60R15,5MDY FVH 4912,3,0,1,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,RF,59,affinity,P205/60R15,8XC6 A12 4812,6,0,1,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,RR,76,optimo h428,P205/60R15,5MDY FVH 2412,4,0,1,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,LF,98,touring lsr,P205/65R15,U9UV FWM 0313,6,0,1,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,LR,98,touring,P205/65R15,U9UV FWM 0313,5,0,1,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,RF,98,touring,P205/65R15,U9UV FWM,6,0,1,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,RR,98,touring,P205/65R15,U9UV FWM,6,0,1,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,LF,70,assurance •,P225/55R17,M600 ML1R3914,5,0,1,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,LR,187,geolandar g 95,P225/55R17,FDUP,4,0,1,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,RF,70,assurance,P225/55R17,M643 JA2R4713,5,0,1,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,RR,70,eagle ls,P225/55R17,M643 BHDR5213,0,0,1,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,LF,76,optimo h418,P185/55R15,5MAX BWH,3,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,LR,76,optimo h418,P185/55R15,5MAX BWH,3,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,RF,76,opimo h418,P185/55R15,5MAX BWH,3,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,RR,76,optimo h418,P185/55R15,5MAX BWH,1,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,LF,59,fr 710,P225/60R16,8XX0 712 5011,5,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,LR,137,invader sport,P225/60R16,0UX3 KW0R1608,5,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,RF,59,fr710,P225/60R16,8XX0 712 5011,5,0,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,RR,59,fr380,P225/60R16,E2X0 38B,4,0,1,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,LF,998,kenetica,P175/65R14,K3HR ANA,2,0,1,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,LR,70,good ride radial sp06,P175/65R14,JUED CAJ 4313,3,0,1,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,RF,12,Unknown,P175/65R14,65EX AULA4116,5,0,1,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,RR,70,good ride radial sp06,P175/65R14,JUED CAJ 4213,3,0,1,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,LF,998,Auto grip,P225/60R16,KWB7     3614,0,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,LR,998,Auto grip,P225/60R16,KWB7     3814,0,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,RF,998,auto grip,P225/60R16,KWB7     3814,0,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,RR,998,auto grip,P225/60R16,KWB7     3814,0,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,LF,103,cross terrain,P245/65R17,M3KT D2CX,3,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,LR,70,tracker 2,P245/65R17,PJ8T N4HR2413,5,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,RF,103,cross terrain,P245/65R17,M3KT D2CX3608,2,0,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,RR,70,tracker 2,P245/65R17,4B8T N4HR1713,4,0,1,41.58524342044350000000,4,2
7826,10,38,1-10-2017-038-07,7,1,LF,103,energy,P225/50R17,M30A 00NX1614,6,0,1,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,LR,103,energy,P225/50R17,M30A 00NX1614,6,0,1,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,RF,103,energy,P225/50R17,M30A 00NX1614,5,0,1,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,RR,69,advantage t/a,P225/50R17,BE40 PV113016,8,0,1,319.93066647553500000000,4,2
7888,10,39,1-10-2017-039-02,2,1,LF,30,GLS,P225/50R18,U978 1DR 3015,5,0,1,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,LR,30,GLS,P225/50R18,U978 1DR 2915,5,0,1,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,RF,30,GLS,P225/50R18,U978 1DR 2915,5,0,1,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,RR,30,gls,P225/50R18,U978 1DR 2615,5,0,1,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,LF,155,sf 340,P185/65R15,R7FP XKU,7,1,1,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,LR,155,sf 340,P185/65R15,R7FP XKU,7,0,1,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,RF,155,sf 340,P185/65R15,R7FP XKU,7,0,1,46.34288220449190000000,4,2
