CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,TOWSTAT,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,CASEWGT,PSUSTRAT,VERSION
6707,10,19,1-10-2017-019-02,2,1,2G1FC1E36E91,17,20,9,2014,2,1,4,0,1,F,3,1700,5,0,1,1,1,80,1,1,2,996,1,0,0,45415,2,2,0,4,3,1,2,1,1,1,1,2,0,0,2,8,0,0,9,1,1,2,13,99,1,4,1,A,1,0,0,0,0,0,0,0,0,0,0,998,998,0,0,1,3,1,57,-57,0,230423,998,0,57,0,1,3,10,1,4,0,998,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,1FADP3F23DL3,17,12,37,2013,4,1,3,0,1,R,1,1340,5,0,1,1,1,56,1,0,0,995,0,0,0,45449,9,9,2,4,5,2,2,1,1,1,1,1,0,0,1,1,1,2,9,0,1,2,17,1,1,1,5,L,87,0,0,0,0,0,0,0,0,0,0,350,260,0,0,0,1,1,11,-7,-9,8377,998,-11,12,0,1,99,99,0,8,0,995,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,1FAFP52U2WA1,17,12,17,1998,4,1,3,0,1,F,1,1509,5,0,1,1,1,56,1,0,0,995,0,0,0,45403,1,2,2,4,5,2,2,1,1,1,1,1,0,0,1,1,1,2,1,0,1,4,66,1,1,1,5,L,86,0,0,0,0,0,0,0,0,0,0,260,350,0,0,0,1,1,9,-7,6,9123,998,139,9,0,1,1,2,0,4,0,995,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,6G2VX12U16L5,17,22,8,2006,2,1,4,0,1,R,1,1690,5,0,1,1,1,105,1,0,0,995,0,0,0,45345,9,9,0,2,3,3,2,2,1,2,3,2,1,3,4,2,0,0,9,1,1,1,6,99,4,4,1,B,7,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,1,12,12,-2,10987,998,-59,12,0,1,0,0,0,0,0,998,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1GNFK230X9R2,17,20,421,2009,15,3,15,0,1,F,3,2388,5,0,1,1,1,40,1,8,0,995,0,7,0,99999,9,9,0,4,2,1,2,2,1,2,0,0,0,0,3,2,0,0,9,1,1,2,13,99,1,4,1,C,11,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,1,1,42,-42,0,155192,998,51,39,0,1,99,99,0,99,0,995,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,2,2GTEC19K6S15,17,23,481,1995,34,5,31,0,2,B,9,1957,5,9999,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,,,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,3,999999999999,99,20,481,1994,34,5,31,0,2,B,9,1877,5,9999,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,,,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,2C8GP64L53R3,17,6,441,2003,20,4,20,0,1,L,1,1977,5,0,1,2,0,56,1,0,0,995,0,0,0,45345,9,9,2,4,2,1,2,2,1,1,1,2,0,0,1,2,2,2,2,0,4,2,17,1,1,2,5,L,89,0,0,0,0,0,0,0,0,0,0,140,220,0,0,0,1,1,10,0,10,12672,998,-57,12,0,1,95,95,95,95,0,995,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1FAFP40442F1,17,12,3,2002,2,1,2,0,1,F,1,1531,5,0,1,1,1,80,1,0,0,995,0,0,0,45042,1,2,2,1,2,1,2,2,1,1,1,2,1,0,1,2,0,0,1,0,1,2,17,1,1,2,5,L,88,0,0,0,0,0,0,0,0,0,0,220,140,0,0,0,1,1,12,-12,-2,9023,998,-97,10,0,1,1,1,0,6,0,995,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,2G1WT58KX691,17,20,2,2006,4,1,4,0,1,R,3,1630,5,0,1,5,1,64,1,0,1,0,2,0,0,45406,2,9,0,1,2,1,2,1,2,1,0,3,0,0,3,1,0,0,1,1,6,1,6,1,1,4,1,B,8,0,0,0,0,0,0,0,0,0,0,998,998,0,1,1,3,98,999,999,999,9999999,999,999,999,8,0,1,1,0,4,0,998,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,2T1BU4EE6DC0,17,49,32,2013,4,1,2,0,1,F,1,1260,5,0,1,3,1,56,1,0,0,995,0,0,0,45409,9,9,0,5,3,1,2,1,1,1,0,2,0,0,1,1,0,0,9,0,1,3,52,2,1,1,2,D,28,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,1,12,999,999,999,9999999,999,999,999,2,0,0,0,0,0,0,995,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,2,1FMZU73E22ZB,17,12,473,2002,34,5,30,0,1,B,9,1970,5,9999,9,0,0,56,1,0,0,995,0,0,0,45459,9,9,0,5,3,1,2,1,1,1,0,2,0,0,1,1,0,0,9,0,2,3,53,1,1,1,2,D,29,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,95,95,95,95,0,995,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1G8ZS57B89F1,17,24,9,2009,4,1,4,0,1,B,1,1601,5,0,1,1,1,105,1,0,0,995,0,0,0,45440,1,2,1,3,1,1,2,2,2,1,1,2,0,0,1,2,0,0,1,1,14,1,8,2,4,4,1,A,2,0,0,0,0,0,0,0,0,0,0,998,998,0,1,0,1,8,999,999,999,9999999,999,999,999,6,0,1,2,0,6,0,998,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,1,KL1TD56E59B3,17,20,39,2009,4,1,1,0,1,R,9,1148,5,9999,9,0,1,40,1,0,0,995,0,0,0,45405,9,9,2,4,2,1,2,1,1,1,0,2,0,0,1,8,1,2,1,0,1,4,66,1,1,1,5,L,87,0,0,0,0,0,0,0,0,0,0,235,140,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,9,97,0,8,0,995,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,5FRYD4H94GB0,17,54,421,2016,15,3,15,0,1,F,1,1970,8,0,1,3,1,40,1,0,0,995,0,0,0,45458,9,9,2,4,5,2,2,1,1,1,3,1,0,0,1,8,1,2,1,0,1,4,66,2,1,1,5,L,86,0,0,0,0,0,0,0,0,0,0,140,235,0,0,0,1,12,999,999,999,9999999,999,999,999,2,0,9,97,0,8,0,995,622.14352093650500000000,4,2
