CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
7268,13,55,1-13-2017-055-10,10,1,1,63,0,12,0,0,888,12FLWW03,F,L,W,W,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,1,1,LF wheel only,None,N/A,999,999,999,999,999,999,999,999,999,999,999,999,,,15216.83519490180000000000,7,2
7318,13,56,1-13-2017-056-02,2,1,1,2,350,12,0,0,150,12LYES01,L,Y,E,S,01,1,1,1,0,38,46,6,5,999,999,999,9999999,999,999,13,2,1,starts 284 for of rear axle,starts 284 for of rear axle,160 for of rear axle,286,10,286,27,246,8,0,4,8,7,2,0,,,201.63898984262400000000,7,2
7318,13,56,1-13-2017-056-02,2,1,2,31,998,0,9,0,888,00TFDO01,T,F,D,O,01,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,6,2,Distributed side to side,Rollover,LF Hood,888,888,888,888,888,,,,,,,,0,0,201.63898984262400000000,7,2
7318,13,56,1-13-2017-056-02,2,2,1,1,50,2,0,0,270,02FYEW01,F,Y,E,W,01,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,9,1,1,starts 14 right of center,BC to BC,c1,145,0,160,53,94,0,0,0,0,0,0,0,,,201.63898984262400000000,7,2
7366,13,57,1-13-2017-057-07,7,1,1,54,0,12,0,0,888,12FYEW03,F,Y,E,W,03,8,8,8,8,888,888,888,1,30,-30,0,47141,998,-28,30,0,1,starts 16cm right of center,bc to bc,c1,144,0,144,28,88,48,48,25,17,4,0,0,,,3594.91327501110000000000,7,2
7367,13,58,1-13-2017-058-03,3,1,1,2,90,3,0,0,165,03RPEW03,R,P,E,W,03,0,1,1,0,29,33,4,1,33,0,-33,117389,998,94,36,0,1,89cm aft front right axle extending rearward,89cm aft front right axle extending rearward,100cm forward of right rear axle,210,-66,210,-66,210,38,11,36,38,19,14,8,,,991.88248213842200000000,7,2
7367,13,58,1-13-2017-058-03,3,2,1,1,340,11,1,0,95,11FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,39,-37,13,69987,998,42,34,0,1,Begins 30cm right of center extending left,Left rebar end to right rebar end,20cm left of the left rebar end,127,0,154,-24,107,21,14,19,21,21,18,18,,,991.88248213842200000000,7,2
7368,13,59,1-13-2017-059-03,3,1,1,68,0,12,0,0,888,12FREE03,F,R,E,E,03,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,1,starts 59 right  of  center,BC BC,c6,154,0,154,68,18,1,0,0,0,1,0,1,,,991.88248214289800000000,7,2
7368,13,59,1-13-2017-059-03,3,1,2,68,0,12,0,0,888,12FREE03,F,R,E,E,03,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,2,Starts 59cm right of center,BC to BC,C6`,154,0,154,68,18,999,999,999,999,999,999,999,,,991.88248214289800000000,7,2
7447,13,60,1-13-2017-060-04,4,2,1,1,350,12,0,0,180,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,2,1,B C to BC,Left frame rail to right frame rail,unknown,87,0,166,0,166,999,999,999,999,999,999,999,,,2291.22123220478000000000,7,2
7448,13,61,1-13-2017-061-05,5,1,1,2,300,10,1,0,80,10LYEW02,L,Y,E,W,02,8,8,8,8,888,888,888,4,24,-12,20,24341,998,18,22,0,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,111.72102148204900000000,7,2
7448,13,61,1-13-2017-061-05,5,2,1,1,20,1,0,0,180,01FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,4,15,-14,-5,23695,998,-78,16,0,1,bc to bc,bc to bc,54 ROC,140,0,168,0,168,9,0,0,3,9,9,9,,,111.72102148204900000000,7,2
7449,13,62,1-13-2017-062-06,6,1,1,51,0,12,0,0,888,12FREW03,F,R,E,W,03,8,8,8,8,888,888,888,1,23,-23,0,50606,998,64,23,0,1,39cm right of center,Entire frontal plane,C6,138,0,164,64,50,47,11,0,0,0,0,47,,,1271.49345553496000000000,7,2
7547,13,63,1-13-2017-063-03,3,1,1,2,20,1,0,0,140,01FREE07,F,R,E,E,07,8,8,8,8,888,888,888,1,31,-29,-10,28469,998,-25,23,0,1,25cm RT of cntr to 55cm RT of cntr,bc to bc,Right bumper corner,110,0,150,40,30,15,0,3,8,12,15,12,,,278.88438302446900000000,7,2
7547,13,63,1-13-2017-063-03,3,2,1,1,350,12,0,0,350,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,28,-28,5,71008,998,33,34,0,1,bc to bc,bc to bc,unknown,106,999,152,999,999,23,6,17,21,23,23,16,,,278.88438302446900000000,7,2
7548,13,64,1-13-2017-064-09,9,1,1,48,0,12,0,0,888,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,1,entire front,not measured,unknown,105,0,150,0,150,999,999,999,999,999,999,999,,,1604.95204628538000000000,7,2
7549,13,65,1-13-2017-065-04,4,1,1,2,0,12,0,0,350,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,3,27,-27,0,32761,998,-16,24,0,1,starts 46 right of center,bc to bc,4cm left of center,156,0,156,-16,124,19,3,5,19,18,4,0,,,974.69305120181700000000,7,2
7549,13,65,1-13-2017-065-04,4,2,1,1,180,6,0,0,350,06BDEW99,B,D,E,W,99,8,8,8,8,888,888,888,3,32,32,0,55697,998,0,35,0,1,BC to BC,BC to BC,Unknown,999,999,146,999,146,999,999,999,999,999,999,999,,,974.69305120181700000000,7,2
