CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,CASEWGT,PSUSTRAT,VERSION
8779,11,60,1-11-2017-060-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,117,887,887,887,887,887,887,887,887,887,887,887,887,6747.689054,8,2
8779,11,60,1-11-2017-060-03,3,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,106,887,887,887,887,887,887,887,887,887,887,887,887,6747.689054,8,2
8838,11,61,1-11-2017-061-02,2,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,10,30,150,887,887,887,887,887,887,887,356.97106988,8,2
6110,12,1,1-12-2017-001-06,6,1,112,62,265,95,112,112,80,280,95,112,29,33,,,100,,,,,,,,,,,,887,831.84353438,9,2
6110,12,1,1-12-2017-001-06,6,2,101,69,290,80,107,101,69,285,75,107,,30,,,,,,,20,,,,,,,,887,831.84353438,9,2
6185,12,2,1-12-2017-002-06,6,1,,106,246,74,,,71,265,75,,34,37,154,156,115,,,,,,12,20,121,4,42,90,887,6809.550002,9,2
6185,12,2,1-12-2017-002-06,6,2,,40,275,100,,,77,285,100,,40,44,,,115,,,,,,8,18,,5,50,78,887,6809.550002,9,2
6238,12,3,1-12-2017-003-04,4,1,,87,365,124,,,88,365,125,,41,,165,168,146,,,887,887,887,,,,,,,,2969.009329,9,2
6238,12,3,1-12-2017-003-04,4,2,,70,280,80,,,70,300,59,,43,39,159,157,119,,,,,,10,16,132,4,41,88,887,2969.009329,9,2
6242,12,4,1-12-2017-004-07,7,1,,70,280,98,,,67,278,100,,41,43,152,152,123,75,60,50,65,92,10,16,125,3,38,78,887,3303.4069203,9,2
6307,12,5,1-12-2017-005-04,4,1,,,,,,,,267,,,34,47,,,,,,,,,12,16,132,9,40,90,887,2341.2373256,9,2
6307,12,5,1-12-2017-005-04,4,2,,,,,,,,,,,45,50,,,114,,,,,,,,,,,,887,2341.2373256,9,2
6367,12,7,1-12-2017-007-04,4,1,,73,275,80,,,72,275,80,,42,40,152,152,110,,,,,,11,18,120,5,36,77,887,1021.8614449,9,2
6396,12,8,1-12-2017-008-03,3,1,,66,295,93,,,64,300,82,,42,40,167,167,,,,,,,10,14,148,7,45,85,887,1095.4497744,9,2
6396,12,8,1-12-2017-008-03,3,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,132,887,887,887,887,887,887,887,887,887,887,887,887,1095.4497744,9,2
6438,12,9,1-12-2017-009-06,6,1,,90,369,110,,,90,369,110,,49,,,,90,,,887,887,887,,,,,,,,1810.2402605,9,2
6438,12,9,1-12-2017-009-06,6,2,,77,267,75,,,71,265,75,,38,,,,79,,,,,,,,,,,,887,1810.2402605,9,2
6475,12,10,1-12-2017-010-02,2,1,,,999,,,,,,,,,,,,,,,,,,999,999,999,,,,887,564.82332511,9,2
6475,12,10,1-12-2017-010-02,2,2,,90,265,105,,,98,260,105,,44,44,158,157,,,,,,,11,18,127,5,38,78,887,564.82332511,9,2
6537,12,11,1-12-2017-011-01,1,1,,62,308,55,,,,,,,50,,,,,,,,,,10,15,145,5,40,92,887,473.93014836,9,2
6580,12,12,1-12-2017-012-08,8,1,107,80,227,96,323,,,,,,41,30,,150,120,,,,,,10,14,137,5,39,78,887,1347.7085756,9,2
6671,12,13,1-12-2017-013-06,6,1,,,,,,,66,260,92,,38,32,147,145,72,,,,,,9,10,132,6,44,82,887,1527.5630955,9,2
6734,12,15,1-12-2017-015-09,9,1,,,,,,,,,,,42,,,,122,,,,,,,,,,,,887,3747.883536,9,2
6747,12,16,1-12-2017-016-06,6,1,,,,,,,68,250,,,35,,,,84,,,,,,,,,,,,887,1702.365866,9,2
6777,12,17,1-12-2017-017-06,6,1,,,,,,,,390,,,,,,,,,,887,887,887,10,13,,,,,,917.18174815,9,2
6777,12,17,1-12-2017-017-06,6,2,,,375,,,,,,,,70,,,,114,,,887,887,887,9,14,,,,,,917.18174815,9,2
6816,12,18,1-12-2017-018-05,5,1,,,,,,,,,,,37,,,,105,,,,,,,,,,,,887,628.83294075,9,2
6863,12,19,1-12-2017-019-08,8,2,,,,,,,,,,,,42,,,,,,56,,,,,,,,,887,1502.318006,9,2
6917,12,20,1-12-2017-020-06,6,1,,,,,,,,,,,49,,,,125,,,887,887,887,,,,,,,,1254.9977379,9,2
6917,12,20,1-12-2017-020-06,6,2,,,,,,,,,,,,45,,,,,,54,,,,,,,,,887,1254.9977379,9,2
6948,12,21,1-12-2017-021-03,3,2,,,265,,,,,,,,,,,,,,,,,,11,15,131,,,,887,1881.9311135,9,2
7005,12,23,1-12-2017-023-06,6,1,,,,,,,,285,,,,,,,128,,,,,,11,19,141,,,,887,527.92250471,9,2
7014,12,24,1-12-2017-024-06,6,1,,98,365,123,,,87,353,126,,43,47,,,113,90,91,887,887,887,13,14,146,1,56,88,269,1919.2936102,9,2
7056,12,25,1-12-2017-025-03,3,2,,,,,,,,,,,38,44,,,77,,,56,,,,,,,,,887,7140.9113278,9,2
7056,12,25,1-12-2017-025-03,3,3,,,,,,,,,,,,52,,,,,,887,887,887,,,,,,,200,7140.9113278,9,2
7138,12,26,1-12-2017-026-10,10,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,149,887,54,99,887,3396.4471096,9,2
7139,12,27,1-12-2017-027-01,1,1,,,,,,,,,,,46,26,165,165,,,,887,887,887,999,999,,5,43,81,,473.93014836,9,2
7171,12,28,1-12-2017-028-03,3,1,,,,,,,,343,,,,,,,,,,887,887,887,10,26,130,,,,,4470.9515036,9,2
7171,12,28,1-12-2017-028-03,3,2,,,,,,,,,,,50,,,,119,,,887,887,887,,,,,,,,4470.9515036,9,2
7211,12,29,1-12-2017-029-09,9,1,,70,325,122,,,77,325,124,,51,51,,,125,56,77,12,45,230,11,14,150,8,50,92,887,3832.4535665,9,2
7212,12,30,1-12-2017-030-07,7,1,,,,,,,,,,,29,,,,84,,,,,,,,,,,,887,2259.1802894,9,2
7212,12,30,1-12-2017-030-07,7,2,,,295,,,,,,,,,,,,,,,,,,8,19,146,,,,887,2259.1802894,9,2
7259,12,31,1-12-2017-031-02,2,1,,,290,,,,,,,,38,,,,90,,,,,,13,12,151,,,,887,655.80624482,9,2
7259,12,31,1-12-2017-031-02,2,2,,,,,,,,290,,,30,,,,130,,,,,,13,17,,,,,887,655.80624482,9,2
7316,12,32,1-12-2017-032-03,3,1,,,250,,,,,,,,,,,,,,,,,,11,15,124,,,,887,631.78882147,9,2
7317,12,33,1-12-2017-033-07,7,1,,,,,,,,,,,33,,,,100,,,,,,,,,,,,887,3256.7752794,9,2
7455,12,34,1-12-2017-034-04,4,1,,,,,,,,255,,,37,,,,140,,,,,,14,17,126,,,,887,3990.8707739,9,2
7455,12,34,1-12-2017-034-04,4,2,,,285,,,,,,,,,,,,,,,,,,12,25,136,,,,887,3990.8707739,9,2
7456,12,35,1-12-2017-035-04,4,1,,,,,,,,385,,,38,,,,141,,,887,887,887,11,18,145,,,,,3990.8707739,9,2
7546,12,36,1-12-2017-036-07,7,1,,,,,,,,,,,46,,,,116,,,,,,,,,,,,887,4239.644488,9,2
7546,12,36,1-12-2017-036-07,7,2,,,,,,,,,,,,56,,,,,,15,22,,,,,,,,887,4239.644488,9,2
7586,12,38,1-12-2017-038-04,4,1,,,,,,,,,,,40,,,,111,,,,,,,,,,,,887,890.33745428,9,2
7586,12,38,1-12-2017-038-04,4,2,,,285,,,,,,,,38,,,,110,,,,,,10,16,128,,,,887,890.33745428,9,2
7586,12,38,1-12-2017-038-04,4,3,,,280,,,,,,,,,,,,,,,,,,12,17,142,,,,887,890.33745428,9,2
7618,12,39,1-12-2017-039-07,7,1,,,,,,,,256,,,38,,,,37,,,,,,9,16,126,5,36,81,887,990.61558318,9,2
7674,12,40,1-12-2017-040-05,5,1,95,110,285,75,360,95,135,260,75,335,31,45,150,155,125,83,75,10,40,150,10,16,132,7,40,87,887,628.83294075,9,2
7674,12,40,1-12-2017-040-05,5,2,,94,265,113,,,85,215,110,,45,42,140,140,127,55,70,10,43,170,8,12,148,7,50,94,887,628.83294075,9,2
7713,12,41,1-12-2017-041-03,3,1,,,,,,,,270,,,52,,,,90,,,,,,11,19,130,,,,887,461.69698135,9,2
7713,12,41,1-12-2017-041-03,3,2,,,276,,,,,,,,44,,,,105,,,,,,12,17,143,,,,887,461.69698135,9,2
7709,12,42,1-12-2017-042-04,4,1,,,255,,,,,,,,48,,,,112,,,,,,12,14,133,,,,887,2139.0571031,9,2
