CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
7202,10,28,1-10-2017-028-03,3,1,22,,,,,,,,,,,,,,,,,2,2,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,23,,,,,,,,,,,,,,,,,2,3,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,11,1,1,4,1,1,3,2,1,1,4,4,1,2,1,0,0,1,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,13,1,1,5,1,1,3,2,1,1,,,,,,,,1,3,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,21,7,1,1,1,2,2,2,1,1,4,99,9,1,1,0,0,2,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,22,,,,,,,,,,,,,,,,,2,2,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,23,7,1,1,1,2,2,2,1,1,4,14,1,1,1,0,0,2,3,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,11,1,1,5,1,1,3,2,1,1,4,4,1,2,1,0,0,1,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,13,1,1,5,1,1,3,2,1,1,4,99,9,2,5,0,0,1,3,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,21,7,1,1,1,1,3,2,1,1,4,99,9,1,0,0,0,2,1,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,22,,,,,,,,,,,,,,,,,2,2,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,23,,,,,,,,,,,,,,,,,2,3,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,11,1,1,3,1,1,3,2,1,1,4,4,1,4,2,0,0,1,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,13,,,,,,,,,,,,,,,,,1,3,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,21,,,,,,,,,,,,,,,,,2,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,22,,,,,,,,,,,,,,,,,2,2,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,23,,,,,,,,,,,,,,,,,2,3,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,11,1,1,4,1,1,3,2,1,1,4,4,1,2,2,0,0,1,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,13,1,1,4,1,1,3,2,1,1,4,4,1,2,2,0,0,1,3,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,21,5,1,1,1,1,3,2,1,1,4,4,1,4,1,0,0,2,1,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,22,,,,,,,,,,,,,,,,,2,2,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,23,5,1,1,1,1,3,2,1,1,4,4,1,4,1,0,0,2,3,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,11,1,1,6,1,1,3,2,1,1,4,0,1,2,1,0,0,1,1,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,13,,,,,,,,,,,,,,,,,1,3,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,21,,,,,,,,,,,,,,,,,2,1,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,22,,,,,,,,,,,,,,,,,2,2,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,23,,,,,,,,,,,,,,,,,2,3,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,1,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,13,99,9,9,99,9,99,9,9,1,,,,,,,,1,3,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,23,99,9,9,99,9,99,9,9,1,,,,,,,,2,3,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,11,1,1,4,1,1,3,2,1,1,4,4,1,4,1,0,0,1,1,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,13,1,1,2,1,1,3,2,1,1,4,4,1,2,1,0,0,1,3,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,21,,,,,,,,,,,,,,,,,2,1,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,22,,,,,,,,,,,,,,,,,2,2,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,23,4,1,1,1,1,3,2,1,1,4,4,1,1,0,0,0,2,3,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,11,1,1,4,1,1,3,2,1,1,4,4,1,4,1,0,0,1,1,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,13,,,,,,,,,,,,,,,,,1,3,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,21,,,,,,,,,,,,,,,,,2,1,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,22,,,,,,,,,,,,,,,,,2,2,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,23,,,,,,,,,,,,,,,,,2,3,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,11,1,1,5,1,1,3,2,2,1,4,0,0,4,2,0,0,1,1,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,13,,,,,,,,,,,,,,,,,1,3,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,21,,,,,,,,,,,,,,,,,2,1,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,22,,,,,,,,,,,,,,,,,2,2,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,23,,,,,,,,,,,,,,,,,2,3,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,11,1,1,4,1,1,3,2,1,1,4,4,1,2,1,0,0,1,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,13,,,,,,,,,,,,,,,,,1,3,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,21,,,,,,,,,,,,,,,,,2,1,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,22,,,,,,,,,,,,,,,,,2,2,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,23,,,,,,,,,,,,,,,,,2,3,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,98,,,,,,,,,,,,,,,,,0,0,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,11,1,1,4,1,1,3,2,1,1,4,0,1,4,2,0,0,1,1,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,13,,,,,,,,,,,,,,,,,1,3,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,21,,,,,,,,,,,,,,,,,2,1,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,22,,,,,,,,,,,,,,,,,2,2,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,23,,,,,,,,,,,,,,,,,2,3,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,11,1,1,9,2,1,3,2,1,1,4,0,0,4,0,0,0,1,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,13,,,,,,,,,,,,,,,,,1,3,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,21,,,,,,,,,,,,,,,,,2,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,22,,,,,,,,,,,,,,,,,2,2,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,23,,,,,,,,,,,,,,,,,2,3,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,11,1,1,4,1,2,3,2,1,1,4,0,0,1,2,0,0,1,1,41.58524342044350000000,4,2
