CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
7345,10,31,1-10-2017-031-04,4,1,3,13,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,5,13,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,6,13,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,8,13,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,4,21,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,9,21,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,5,23,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,10,23,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,1,1,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,2,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,3,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,4,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,5,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,6,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,1,7,23,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,3,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,5,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,7,11,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,2,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,4,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,6,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,8,13,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,3,21,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,4,23,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,1,11,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,3,11,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,2,13,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,4,13,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,3,21,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,4,23,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,1,11,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,2,11,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,5,11,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,3,13,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,4,13,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,6,13,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,2,21,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,4,23,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,1,11,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,3,11,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,2,13,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,4,13,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,1,11,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,2,13,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,1,11,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,2,13,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,1,11,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,3,11,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,2,13,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,4,13,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,3,21,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,4,23,41.58524342044350000000,4,2
7826,10,38,1-10-2017-038-07,7,1,1,11,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,3,11,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,2,13,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,4,13,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,3,21,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,4,23,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,2,1,11,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,2,2,11,319.93066647553500000000,4,2
7888,10,39,1-10-2017-039-02,2,1,1,11,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,2,11,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,3,11,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,4,13,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,5,13,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,6,13,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,3,21,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,6,23,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,1,11,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,2,13,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,1,11,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,3,11,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,5,11,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,2,13,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,4,13,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,6,13,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,3,21,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,4,23,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,11,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,2,11,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,3,13,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,4,13,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,2,21,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,3,23,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,1,11,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,3,11,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,5,11,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,2,13,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,4,13,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,6,13,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,5,21,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,6,23,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,1,11,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,3,11,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,2,13,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,4,13,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,3,21,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,4,23,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,2,1,11,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,2,13,280.29553550113300000000,4,2
8204,10,45,1-10-2017-045-03,3,1,1,11,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,2,11,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,3,11,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,4,13,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,5,13,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,6,13,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,3,21,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,6,23,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,2,1,11,152.96440682076200000000,4,2
8245,10,46,1-10-2017-046-03,3,1,1,11,125.04034512614800000000,4,2
8394,10,48,1-10-2017-048-03,3,1,1,11,110.88588488173800000000,4,2
8394,10,48,1-10-2017-048-03,3,2,1,11,110.88588488173800000000,4,2
8413,10,49,1-10-2017-049-03,3,1,1,11,157.20339285080300000000,4,2
